city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2163355,Hobart,AU,-42.8794,147.3294,11/13/21,            12.92,57,75,1.79
2139521,Noumea,NC,-22.2763,166.4572,11/13/21,            33.99,74,44,2.88
546105,Nikolskoye,RU,59.7035,30.7861,11/13/21,            3.82,92,100,2.18
2075265,Busselton,AU,-33.65,115.3333,11/13/21,            20.58,40,91,6.33
1015776,Bredasdorp,ZA,-34.5322,20.0403,11/13/21,            11.82,90,46,1.09
906054,Mongu,ZM,-15.2484,23.1274,11/13/21,            20.63,57,19,1.81
3366880,Hermanus,ZA,-34.4187,19.2345,11/13/21,            14.94,87,61,3.64
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,11/13/21,            20.25,62,100,3.88
2094342,Kavieng,PG,-2.5744,150.7967,11/13/21,            29.48,69,27,4.11
777019,Vardø,NO,70.3705,31.1107,11/13/21,            -0.27,68,100,6.09
5855927,Hilo,US,19.7297,-155.09,11/13/21,            25.44,92,90,0
5546220,Saint George,US,37.1041,-113.5841,11/13/21,            17.66,41,1,0.89
2187834,Mamaku,NZ,-38.1,176.0833,11/13/21,            15.43,98,100,4.49
2381972,Adrar,MR,20.5022,-10.0711,11/13/21,            22.34,43,25,3.58
2110227,Butaritari,KI,3.0707,172.7902,11/13/21,            28.02,74,16,6.87
4700033,Ingleside,US,27.8778,-97.2117,11/13/21,            19.42,61,1,2.57
3831208,Qaanaaq,GL,77.484,-69.3632,11/13/21,            -23.36,56,0,3.52
2017155,Saskylakh,RU,71.9167,114.0833,11/13/21,            -27.42,97,11,3.64
4032243,Vaini,TO,-21.2,-175.2,11/13/21,            27.09,78,20,4.12
2019935,Mnogovershinnyy,RU,53.9353,139.9242,11/13/21,            -5.71,83,96,7.31
736661,Axioupolis,GR,40.9836,22.535,11/13/21,            11.17,80,100,0.43
3369157,Cape Town,ZA,-33.9258,18.4232,11/13/21,            17.27,80,0,2.24
3833367,Ushuaia,AR,-54.8,-68.3,11/13/21,            8.81,71,75,2.57
3382160,Cayenne,GF,4.9333,-52.3333,11/13/21,            26.72,88,0,0.89
2170577,Cooma,AU,-36.2333,149.1333,11/13/21,            10.87,46,40,11.32
3140056,Sauda,NO,59.6506,6.3542,11/13/21,            4.82,78,31,2.79
3418910,Upernavik,GL,72.7868,-56.1549,11/13/21,            -13.55,97,97,4.3
4676740,Brownsville,US,25.9018,-97.4975,11/13/21,            19.06,70,1,1.54
5282297,Bethel,US,41.3712,-73.414,11/13/21,            5.56,78,1,0.45
3466165,Cidreira,BR,-30.1811,-50.2056,11/13/21,            19.31,76,0,11.15
2165087,Gold Coast,AU,-28,153.4333,11/13/21,            28.83,31,0,0.45
1513087,Nurota,UZ,40.5614,65.6886,11/13/21,            2.05,47,97,3.72
5106841,Albany,US,42.6001,-73.9662,11/13/21,            4.09,89,27,5.44
5367788,Lompoc,US,34.6391,-120.4579,11/13/21,            22.84,67,1,0
1317402,Kyaikkami,MM,16.08,97.5675,11/13/21,            27.19,69,80,3.45
