The outcome data of East London, ZA: Lat & Lon --> -33.0153,27.9116 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 18.79 & 18.79 & 18.79 Humidity: 72 Clouds: 99 Wind Speed: 6.02
The outcome data of Dikson, RU: Lat & Lon --> 73.5069,80.5464 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: -23.18 & -23.18 & -23.18 Humidity: 96 Clouds: 13 Wind Speed: 1.27
The outcome data of Arraial do Cabo, BR: Lat & Lon --> -22.9661,-42.0278 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 20.3 & 20.3 & 20.3 Humidity: 59 Clouds: 73 Wind Speed: 5.08
The outcome data of Deputatsky, RU: Lat & Lon --> 69.3,139.9 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: -22.91 & -22.91 & -22.91 Humidity: 100 Clouds: 100 Wind Speed: 0.74
The outcome data of Bredasdorp, ZA: Lat & Lon --> -34.5322,20.0403 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 13.49 & 13.49 & 13.49 Humidity: 88 Clouds: 52 Wind Speed: 1.12
The outcome data of Torbay, CA: Lat & Lon --> 47.6666,-52.7314 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 7.55 & 8.49 & 6.88 Humidity: 92 Clouds: 90 Wind Speed: 12.35
The outcome data of Nikolskoye, RU: Lat & Lon --> 59.7035,30.7861 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 2.23 & 3.26 & 0.99 Humidity: 96 Clouds: 100 Wind Speed: 1.57
The outcome data of Dingle, PH: Lat & Lon --> 10.9995,122.6711 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 24.66 & 24.66 & 24.66 Humidity: 93 Clouds: 95 Wind Speed: 2.79
The outcome data of Isangel, VU: Lat & Lon --> -19.55,169.2667 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 29.06 & 29.06 & 29.06 Humidity: 79 Clouds: 75 Wind Speed: 2.57
The outcome data of Avarua, CK: Lat & Lon --> -21.2078,-159.775 Weather Date --> 11/13/21 Weather --> Temperature, Max Temp and Min Temp: 23.03 & 23.03 & 23.03 Humidity: 88 Clouds: 40 Wind Speed: 2.06
