Success found: East London  City ID:1006984 
Success found: Dikson  City ID:1507390 
Success found: Arraial do Cabo  City ID:3471451 
Success found: Deputatsky  City ID:2028164 
Success found: Bredasdorp  City ID:1015776 
Success found: Torbay  City ID:6167817 
Success found: Nikolskoye  City ID:546105 
Success found: Dingle  City ID:1714733 
Success found: Isangel  City ID:2136825 
Success found: Avarua  City ID:4035715 
11. palabuhanratu was not found. 
Success found: São Geraldo do Araguaia  City ID:3388760 
13. nizhneyansk was not found. 
Success found: Yellowknife  City ID:6185377 
Success found: Srednekolymsk  City ID:2121025 
Success found: Kidal  City ID:2455290 
Success found: Ushuaia  City ID:3833367 
Success found: Kisi  City ID:2334327 
Success found: Saint-Philippe  City ID:935215 
Success found: Albany  City ID:5106841 
Success found: Marsh Harbour  City ID:3571913 
Success found: Provideniya  City ID:4031574 
Success found: Shelburne  City ID:6145890 
Success found: Fallon  City ID:5503914 
Success found: Qasigiannguit  City ID:3420768 
Success found: Chapais  City ID:5919850 
Success found: Tías  City ID:2510485 
Success found: Tual  City ID:1623197 
Success found: Le Port  City ID:935616 
Success found: Lata  City ID:2738381 
Success found: Busselton  City ID:2075265 
Success found: Leningradskiy  City ID:2123814 
Success found: Ribeira Grande  City ID:3372707 
Success found: Fairbanks  City ID:5861897 
Success found: Chokurdakh  City ID:2126123 
Success found: Port Blair  City ID:1259385 
Success found: Tuktoyaktuk  City ID:6170031 
Success found: Adamovka  City ID:584279 
Success found: Chauk  City ID:1327659 
Success found: Wattegama  City ID:1224061 
Success found: Bambous Virieux  City ID:1106677 
Success found: Lüderitz  City ID:3355672 
Success found: San Jose  City ID:5392171 
Success found: Punta Arenas  City ID:3874787 
Success found: Mackay  City ID:2159220 
46. zurrieq was not found. 
Success found: Banikoara  City ID:2395317 
Success found: Zhangaözen  City ID:607610 
Success found: Rikitea  City ID:4030556 
Success found: Saint George  City ID:5546220 
Success found: Boissevain  City ID:5905191 
Success found: Vaini  City ID:4032243 
Success found: Jamestown  City ID:5122534 
Success found: Luanda  City ID:2240449 
Success found: Hithadhoo  City ID:1282256 
Success found: Grand Gaube  City ID:934479 
Success found: Opunake  City ID:2206357 
Success found: Bluff  City ID:2206939 
Success found: Whitehorse  City ID:6180550 
Success found: Port Alfred  City ID:964432 
Success found: Whitianga  City ID:2179103 
Success found: Hobart  City ID:2163355 
63. temaraia was not found. 
Success found: Anloga  City ID:2304548 
Success found: Constitución  City ID:3893726 
66. barawe was not found. 
Success found: Hong Kong  City ID:1819729 
Success found: Hamilton  City ID:4513583 
69. louisbourg was not found. 
Success found: Airai  City ID:1651810 
Success found: Puerto Ayora  City ID:3652764 
Success found: Preobrazheniye  City ID:2017658 
Success found: Walvis Bay  City ID:3359638 
Success found: Qaanaaq  City ID:3831208 
Success found: Acaraú  City ID:3408368 
Success found: Athabasca  City ID:5887916 
Success found: Salalah  City ID:286621 
Success found: Kavieng  City ID:2094342 
Success found: Tasiilaq  City ID:3424607 
Success found: Beira  City ID:1052373 
Success found: Cabedelo  City ID:3404558 
Success found: Opelousas  City ID:4336153 
Success found: Vestmannaeyjar  City ID:3412093 
Success found: Corrente  City ID:3409644 
Success found: Mataura  City ID:6201424 
86. illoqqortoormiut was not found. 
Success found: West Wendover  City ID:5710035 
Success found: Chui  City ID:3443061 
Success found: Touros  City ID:3386213 
Success found: Hilo  City ID:5855927 
Success found: Lebu  City ID:3883457 
Success found: Erzincan Province  City ID:315372 
Success found: Margate  City ID:2643044 
Success found: Vodnyy  City ID:472976 
Success found: Anshun  City ID:1817968 
Success found: Kiruna  City ID:605155 
Success found: Diamantino  City ID:3464724 
Success found: Saint Paul Harbor  City ID:5866583 
Success found: Vila Velha  City ID:3445026 
Success found: San Cristobal  City ID:3628473 
101. taolanaro was not found. 
Success found: Atambua  City ID:1651103 
103. grand river south east was not found. 
